"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"1135","First Lady Laura Bush","His Excellency Georgi Purvanov, President of the Republic of Bulgaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, hardcover: ‘‘Bulgaria,’’ published by All Bulgarian Foundation","Archives Foreign.","148","2007-06-08","Bulgaria"
"1136","First Lady Laura Bush","His Excellency Georgi Purvanov, President of the Republic of Bulgaria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: silver filigree decorative buckle","Archives Foreign.","191","2007-06-08","Bulgaria"
"1137","First Lady Laura Bush","His Excellency Luis Inacio Lula da Silva, President of the Federative Republic of Brazil.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Items (7): small sterling silver spoons embellished with turquoise","Archives Foreign.","350","2007-03-31","Brazil"
"1138","Elliot Abrams, Deputy Assistant to the President and Deputy National Security Advisor for Global Democracy Strategy.","The Custodian of the Two Holy Mosques King Abdullah Bin Abdul Aziz Al Saud, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: Concord Mariner watch with black face and silver band; held in polished wood box","Transferred to General Services Administration.","1435","2007-03-01","United Arab Emirates"
"1139","Elliot Abrams, Deputy Assistant to the President and Deputy National Security Advisor for Global Democracy Strategy.","The Honorable Mohamed Yassine Mansouri, Director of the Directorate General of Studies and Documentation, Morocco.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: ornate silver box with red, white, and blue accents; held in leather red box","Transferred to General Services Administration.","750","2007-03-05","Morocco"
"1140","Joshua B. Bolten, Assistant to the President and Chief of Staff.","His Excellency Samuel Schmid, Chief, Federal Department of Defense, Civil Protection, and Sports of the Swiss Confederation, Switzerland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: Hanowa Swiss Military Sealander Men’s Diving Watch with stainless steel case and rubber strap","Transferred to General Services Administration.","337","2007-04-13","Switzerland"
"1141","Joshua B. Bolten, Assistant to the President and Chief of Staff.","His Excellency Samuel Schmid, Chief, Federal Department of Defense, Civil Protection, and Sports of the Swiss Confederation, Switzerland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Weapon Swiss Army Classic featuring small blade, scissors and nail file","Personally retained by the staff member.","15","2007-04-13","Switzerland"
"1142","Joshua B. Bolten, Assistant to the President and Chief of Staff.","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: navy E. Marinella tie with small red circles","Personally retained by the staff member.","165","2007-06-01","Italy"
"1143","Joshua B. Bolten, Assistant to the President and Chief of Staff.","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: navy E. Marinella tie with small white squares","Transferred to General Services Administration.","165","2007-06-01","Italy"
"1144","Bertram D. Braun, Director for Southeast Europe, National Security Council.","Her Excellency Bisera Turkovic, Ambassador of Bosnia and Herzegovina.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: painting of castle with personal inscription, by H.P. Bosaulea; held in large goldtone frame","Transferred to General Services Administration.","450","2007-12-19","Bosnia and Herzegovina"
"1145","Jack D. Crouch, Assistant to the President and Deputy National Security Advisor.","Mr. Anatosios Dimoschakis, Chief of the Greek National Police, Greece.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household item: silver goblet with Greek National Police seal engraved on front","Transferred to General Services Administration.","500","2007-03-28","Greece"
"1146","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Filip Vujanovic, President of the Republic of Montenegro.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Coin (2): silver and gold commemorative coins from the Republic of Montenegro; held in blue case","Transferred to General Services Administration.","500","2007-05-04","Montenegro"
"1147","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Sheikh Hamad bin Jassim bin Jabir Al Thani, Prime Minister of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: various chocolates, fruits, and cookies; held in large tin","Handled pursuant to Secret Service policy.","932","2007-12-26","Qatar"
"1148","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Sheikh Hamad bin Jassim bin Jabir Al Thani, Prime Minister of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: small green dish","Transferred to General Services Administration.","23","2007-12-26","Qatar"
"1149","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Abdullah Gul, President of the Republic of Turkey.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: sterling silver plate with blue and red floral design on tile insert; held in blue velvet case","Transferred to General Services Administration.","602","2007-11-26","Turkey"
"1150","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Yunis Qanuni, Speaker of the Lower House of the National Assembly, Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: lapis lazuli box with brass interior","Transferred to General Services Administration.","485","2007-10-31","Afghanistan"
"1151","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: E. Marinella blue silk tie with white accents","Transferred to General Services Administration.","165","2007-06-07","Italy"
"1152","Stephen J. Hadley, Assistant to the President for National Security Affairs.","His Excellency Silvio Berlusconi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory (2): E. Marinella silk twill ties; one burgundy with repeating blue flowers and one navy with scattered blue and burgundy flowers","Pending Transfer to General Services Administration.","330","2007-06-07","Italy"
"1153","Mary A. Haines, Deputy Executive Secretary for Scheduling and Advance.","Mr. Igor O. Shchegolev, Head of Protocol, Office of The President of the Russian Federation.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: white porcelain coffee set with gold and blue accents","Recipient purchased item from General Services Administration.","425","2007-07-01","Russia"
"1154","Mary A. Haines, Deputy Executive Secretary for Scheduling and Advance.","His Excellency Nicolas Sarkozy, President of the Republic of France.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: Bernard Richards quartz watch with two dials and red leather strap; held in blue case","Transferred to General Services Administration.","401","2007-11-06","France"
"1155","Emily Harding, Director for Iran, National Security Council.","Abdullah bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: sterling silver Tiffany Co quartz watch with black leather strap","Transferred to General Services Administration.","2800","2007-10-23","United Arab Emirates"
"1156","LTG Douglas Lute, Assistant to the President and Deputy National Security Advisor for Iraq and Afghanistan.","His Excellency Abdul Rahim Wardak, Minister of Defense of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item (6): lapis lazuli coasters; held in lapis holder","Transferred to General Services Administration.","385","2007-08-14","Afghanistan"
"1157","Anita B. McBride, Assistant to the President and Chief of Staff to the First Lady.","Abdullah bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques and King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Accessory: sterling silver Tiffany Co quartz watch with black leather strap","Recipient purchased item from General Services Administration.","2800","2007-10-23","United Arab Emirates"
"1158","Elizabeth M. Phu, Director of Southeast Asia, National Security Council.","His Excellency Tam Chien Nguyen, Ambassador of Vietnam.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: sterling silver vase with floral engravings","Transferred to General Services Administration.","680","2007-10-19","Vietnam"
"1159","Frances F. Townsend, Assistant to the President for Homeland Security and Counterterrorism.","Princess Rima, Saudi Arabia","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk Accessory (16): set of cream-colored greeting cards and envelopes with black and white images from Saudi Arabia on the front of each card","Transferred to General Services Administration.","48","2007-02-05","United Arab Emirates"
"1160","Frances F. Townsend, Assistant to the President for Homeland Security and Counterterrorism.","Princess Rima, Saudi Arabia","Non-acceptance would cause embarrassment to donor and U.S. Government.","Consumables: sandalwood and perfume in wooden display case","Transferred to General Services Administration.","805","2007-02-05","United Arab Emirates"
"1161","Frances F. Townsend, Assistant to the President for Homeland Security and Counterterrorism.","His Excellency Rashid bin Abdallah bin Ahmad al-Khalifa, Minister of Interior of the Kingdom of Bahrain.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Desk Accessory: gilded silver dhow with plaque reading, ‘‘Presented by H.E. Sheikh Rashid bin Abdulla Al-Khalifa, Minister of the Interior—Kingdom of Bahrain, March 2007;’’ held in red case","Transferred to General Services Administration.","1500","2007-03-20","Bahrain"
"1162","Frances F. Townsend, Assistant to the President for Homeland Security and Counterterrorism.","His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Household Item: Afghan rug with repeating black, brown, burgundy, and orange repeating diamond pattern with grey fringe","Pending Transfer to General Services Administration.","800","2007-02-01","Afghanistan"
"1163","Frances F. Townsend, Assistant to the President for Homeland Security and Counterterrorism.","LTG Mohammed Medienne, Director, Department of Military Security, Ministry of National Defense, Algeria.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Artwork: painting of street scene on tiles; held in wooden frame","Transferred to General Services Administration.","475","2007-07-13","Algeria"
